Producer/Consumer Program Launched
P1 entered
P2 entered
P1: produce 0
P2: produce 1
P3 entered
C1 entered
C1: consumed 0
Threads initialized
P1: produce 2
P2: produce 3
C2 entered
P3: produce 4
C2: consumed 1
P2: produce 5
P1: produce 6
P3: produce 7
C1: consumed 2
C2: consumed 3
P1: produce 8
P2: produce 9
P3: produce 10
C1: consumed 4
C2: consumed 5
P3: produce 11
P2: produce 12
P1: produce 13
C1: consumed 6
C2: consumed 7
P2: produce 14
P1: produce 15
P3: produce 16
C1: consumed 8
C2: consumed 9
P1: produce 17
P3: produce 18
P2: produce 19
C1: consumed 10
C2: consumed 11
P3: produce 20
P2: produce 21
P1: produce 22
C2: consumed 22
C1: consumed 13
P2: produce 23
P1: produce 24
P3: produce 25
C2: consumed 24
C1: consumed 25
C2: consumed 16
P1: produce 26
P3: produce 27
P2: produce 28
C1: consumed 27
C2: consumed 28
P3: produce 29
P2: produce 30
P1: produce 31
C1: consumed 29
C2: consumed 30
P2: produce 32
P1: produce 33
P3: produce 34
C1: consumed 31
C2: consumed 32
P1: produce 35
P3: produce 36
P2: produce 37
C1: consumed 33
C2: consumed 34
P3: produce 38
P2: produce 39
P1: produce 40
C1: consumed 35
C2: consumed 36
P1: produce 41
P2: produce 42
P3: produce 43
C1: consumed 37
C2: consumed 38
P2: produce 44
P3: produce 45
P1: produce 46
C1: consumed 39
C2: consumed 40
P3: produce 47
P1: produce 48
P2: produce 49
C1: consumed 41
P1: produce 50
P2: produce 51
P3: produce 52
C1: consumed 52
C2: consumed 43
P2: produce 53
P3: produce 54
P1: produce 55
C1: consumed 54
C2: consumed 55
P3: produce 56
P2: produce 57
P1: produce 58
C1: consumed 56
C2: consumed 57
P2: produce 59
P1: produce 60
P3: produce 61
C1: consumed 58
C2: consumed 59
P1: produce 62
P3: produce 63
P2: produce 64
C1: consumed 60
C2: consumed 61
P3: produce 65
P2: produce 66
C2: consumed 62
P1: produce 67
C1: consumed 63
P2: produce 68
P1: produce 69
P3: produce 70
C2: consumed 64
C1: consumed 65
P1: produce 71
P1 finished
C2: consumed 66
P2: produce 72
P2 finished
C2: consumed 67
P3: produce 73
C1: consumed 68
C2: consumed 69
P3: produce 74
P3 finished
C1: consumed 70
C2: consumed 71
C1: consumed 72
C2: consumed 73
C1: consumed 74
C2: consumed 65
C1: consumed 66
C2: consumed 67
C1: consumed 68
C2: consumed 69
C1: consumed 70
C2: consumed 71
C1: consumed 72
C2: consumed 73
C1: consumed 74
C2: consumed 65
C1: consumed 66
C2: consumed 67
C1: consumed 68
C2 finished
C1: consumed 69
C1 finished
